"defense","rushing_yds","year"
"1049","KC",3,"2015"
"1050","KC",-2,"2015"
"1051","KC",3,"2015"
"1052","KC",-2,"2015"
"1053","KC",2,"2015"
"1054","KC",3,"2015"
"1055","KC",-1,"2015"
"1056","KC",0,"2015"
"1057","SF",6,"2015"
"1058","SF",1,"2015"
"1059","SF",3,"2015"
"1060","SF",5,"2015"
"1061","SF",1,"2015"
"1062","SF",3,"2015"
"1063","SF",4,"2015"
"1064","SF",2,"2015"
"1065","SF",3,"2015"
"1066","STL",6,"2015"
"1067","STL",2,"2015"
"1068","STL",3,"2015"
"1069","STL",5,"2015"
"1070","STL",1,"2015"
"1071","SD",25,"2015"
"1072","SD",1,"2015"
"1073","SD",65,"2015"
"1074","SD",-2,"2015"
"1075","SD",4,"2015"
"1076","SD",7,"2015"
"1077","SD",5,"2015"
"1078","SD",2,"2015"
"1079","SD",5,"2015"
"1080","SD",0,"2015"
"1081","DEN",0,"2015"
"1082","DEN",4,"2015"
"1083","DEN",2,"2015"
"1084","DEN",0,"2015"
"1085","DEN",3,"2015"
"1086","CAR",4,"2015"
"1087","CAR",9,"2015"
"1088","CAR",15,"2015"
"1089","CAR",-1,"2015"
"1090","CAR",0,"2015"
"1091","CAR",2,"2015"
"1092","CAR",4,"2015"
"1093","CAR",2,"2015"
"1094","CAR",4,"2015"
"1095","CAR",0,"2015"
"1096","DET",5,"2015"
"1097","DET",2,"2015"
"1098","DET",3,"2015"
"1099","DET",2,"2015"
"1100","DET",6,"2015"
"1101","DET",0,"2015"
"1102","DET",0,"2015"
"1103","DET",9,"2015"
"1104","DET",0,"2015"
"1105","DET",2,"2015"
"1106","DET",4,"2015"
"1107","DET",1,"2015"
"1108","DET",2,"2015"
"1109","DET",1,"2015"
"1110","DET",5,"2015"
"1111","MIN",9,"2015"
"1112","MIN",0,"2015"
"1113","MIN",5,"2015"
"1114","MIN",0,"2015"
"1115","MIN",0,"2015"
"1116","MIN",-3,"2015"
"1117","MIN",2,"2015"
"1118","MIN",1,"2015"
"1119","CHI",3,"2015"
"1120","CHI",10,"2015"
"1121","CHI",7,"2015"
"1122","CHI",1,"2015"
"1123","CHI",6,"2015"
"1124","CHI",5,"2015"
"1125","CHI",7,"2015"
"1126","DET",5,"2015"
"1127","DET",6,"2015"
"1128","DET",4,"2015"
"1129","DET",-1,"2015"
"1130","DET",-2,"2015"
"1131","DET",-3,"2015"
"1132","DET",0,"2015"
"1133","DET",3,"2015"
"1134","DET",3,"2015"
"1135","DAL",3,"2015"
"1136","DAL",0,"2015"
"1137","DAL",7,"2015"
"1138","DAL",5,"2015"
"1139","DAL",-2,"2015"
"1140","DAL",5,"2015"
